Date,High,Low,Open,Close,Volume,Adj Close
2018-08-06,46150,45750,46150,45800,6771979,45038.33594
2018-08-07,46750,45900,46300,46700,9058174,45923.37109
2018-08-08,47000,46550,47000,46800,6429338,46021.70703
2018-08-09,47050,46450,47000,46900,12010886,46120.04297
2018-08-10,46400,44850,46150,45400,16670643,44644.98828
2018-08-13,45100,44650,44950,45050,9803831,44300.80859
2018-08-14,45400,44850,44850,45150,6409259,44399.14844
2018-08-16,44650,43700,43800,44250,10088229,43514.11719
2018-08-17,44400,44050,44050,44100,6808747,43366.60938
2018-08-20,44200,43500,43500,43850,7289124,43120.76563
2018-08-21,44900,43700,43700,44800,9520270,44054.96875
2018-08-22,46200,44900,45150,46100,11641656,45333.34766
2018-08-23,46200,45700,46150,46200,6730918,45431.6875
2018-08-24,46400,45550,45900,46150,6582535,45382.51563
2018-08-27,46550,46000,46100,46300,5263782,45530.01953
2018-08-28,46950,46300,46800,46550,7365976,45775.86328
2018-08-29,46800,46400,46750,46800,5572374,46021.70703
2018-08-30,47950,46700,46950,47650,12193231,46857.57031
2018-08-31,48450,47000,47100,48450,13577454,47644.26953
2018-09-03,48300,47300,48200,47450,8595084,46660.89844
2018-09-04,47800,47200,47550,47650,6791255,46857.57031
2018-09-05,47450,46400,47300,46600,9139998,45825.03125
2018-09-06,46400,45800,46200,46100,9040553,45333.34766
2018-09-07,45200,44400,44500,44900,18285508,44153.30469
2018-09-10,45550,45000,45450,45500,9979838,44743.32813
2018-09-11,45900,45050,45550,45050,9865790,44300.80859
2018-09-12,45100,44500,44900,44550,12995269,43809.125
2018-09-13,44750,44000,44550,44050,18277942,43317.4375
2018-09-14,45850,44900,45000,45850,12446344,45087.50781
2018-09-17,45800,44900,45550,45150,8123384,44399.14844
2018-09-18,45900,44700,44950,45500,9987090,44743.32813
2018-09-19,46200,45700,46000,46150,9367454,45382.51563
2018-09-20,47600,46400,46850,47250,13536966,46464.22266
2018-09-21,47550,46550,46550,47400,14476906,46611.73047
2018-09-27,47500,46450,46950,47500,15804586,47061.53906
2018-09-28,47250,46300,47250,46450,11270515,46021.23047
2018-10-01,46800,45800,46450,46350,6354983,45922.15234
2018-10-02,46700,45700,46450,45700,6607188,45278.15234
2018-10-04,45600,44700,45150,44700,11865327,44287.38281
2018-10-05,45500,44550,44800,44700,10544165,44287.38281
2018-10-08,45200,44200,44200,44950,6759464,44535.07422
2018-10-10,45500,44500,45250,45300,10341349,44881.84375
2018-10-11,44650,43100,44000,43100,19324537,42702.15234
2018-10-12,44650,43200,43200,44000,12640906,43593.84375
2018-10-15,44050,43350,44050,43800,7434522,43395.69141
2018-10-16,44150,43350,43700,43600,6825677,43197.53906
2018-10-17,44500,44000,44150,44150,8306193,43742.46094
2018-10-18,44450,43700,43950,44050,8347725,43643.38281
2018-10-19,44150,43450,43900,43900,7842520,43494.76953
2018-10-22,43950,43200,43450,43550,8357648,43148
2018-10-23,43450,42550,43300,43050,9531231,42652.61328
2018-10-24,43100,42250,43050,42550,13522825,42157.23047
2018-10-25,41550,40550,40600,41000,19338170,40621.53906
2018-10-26,41300,40400,41100,41000,14413864,40621.53906
2018-10-29,41950,40550,40850,41400,14460521,41017.84375
2018-10-30,43000,41000,41400,42350,14205190,41959.07422
2018-10-31,43350,41700,42900,42400,17621480,42008.61328
2018-11-01,42950,42150,42450,42150,13423132,41760.92188
2018-11-02,44250,42800,43050,44150,16517112,43742.46094
2018-11-05,43800,42900,43750,43800,9426777,43395.69141
2018-11-06,43800,42950,43750,43750,7713625,43346.15234
2018-11-07,44500,43400,43600,44000,11553998,43593.84375
2018-11-08,45050,44050,44900,44050,12617397,43643.38281
2018-11-09,44850,43900,44450,44300,7318500,43891.07422
2018-11-12,45250,43700,43850,45200,8552566,44782.76953
2018-11-13,44500,43400,43900,44500,9311126,44089.23047
2018-11-14,44500,43800,44500,44100,6783344,43692.92188
2018-11-16,44750,43700,44600,44000,7777124,43593.84375
2018-11-19,44250,43450,44050,43650,7538720,43247.07422
2018-11-20,43000,42100,42450,42800,9420664,42404.92188
